Pop CabatoanXL CabatoanXU HainaXL HainaXU N.MagbangonXL N.MagbangonXU PalanasXL PalanasXU Poroc_San_FlowerXL Poroc_San_FlowerXU S.MagbangonXL S.MagbangonXU Sitio_BaybayonXL Sitio_BaybayonXU Tamakin_DacotXL Tamakin_DacotXU ViscaXL ViscaXU WangagXL WangagXU
1 0.0001 0.4660 0.0001 0.6640 0.0001 0.6452 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989
2 0.0001 0.7975 0.0001 0.8081 0.0001 0.3087 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989
3 0.0001 0.5101 0.0001 0.5045 0.0001 0.3816 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989
4 0.0001 0.4995 0.0001 0.4028 0.0001 0.5749 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989
5 0.0001 0.7328 0.0001 0.4995 0.0001 0.3366 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989
6 0.0001 0.5101 0.0001 0.6903 0.0001 0.1908 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989
7 0.0001 0.6903 0.0001 0.1906 0.0001 0.4717 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989
8 0.0001 0.0902 0.0001 0.6903 0.0001 0.4994 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989
9 0.0001 0.8057 0.0001 0.7459 0.0001 0.6862 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989 0.0001 0.9989
10 0.0001 0.8122 0.0001 0.7975 0.0001 0.8056 0.0287 0.9101 0.0001 0.4995 0.0001 0.6174 0.0001 0.6903 0.0009 0.3029 0.0001 0.6174 0.0001 0.9819
