Pop Cabatoan Haina N.Magbangon Palanas Poroc_San_Flower S.Magbangon Sitio_Baybayon Tamakin_Dacot Visca Wangag Ghost
1 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0002 0.0001 0.0001 0.0001 0.9989
2 0.0001 0.0001 0.0001 0.0001 0.0001 0.0002 0.0001 0.0002 0.0001 0.0001 0.9988
3 0.0001 0.0001 0.0001 0.0001 0.0002 0.0001 0.0001 0.0001 0.0001 0.0001 0.9989
4 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0002 0.0001 0.0001 0.0001 0.9989
5 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0002 0.9989
6 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0002 0.9989
7 0.0001 0.0001 0.0002 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.9989
8 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0002 0.0001 0.0001 0.0001 0.9989
9 0.0001 0.0001 0.0001 0.0001 0.0002 0.0001 0.0001 0.0001 0.0001 0.0001 0.9989
10 0.0001 0.0001 0.0001 0.6353 0.0001 0.0001 0.0001 0.0161 0.0001 0.0002 0.3477
