Pop CabatoanXL CabatoanXU Caridad_CemeteryXL Caridad_CemeteryXU Elementary_SchoolXL Elementary_SchoolXU GabasXL GabasXU HainaXL HainaXU Hicgop_SouthXL Hicgop_SouthXU N.MagbangonXL N.MagbangonXU PalanasXL PalanasXU Poroc_RoseXL Poroc_RoseXU Poroc_San_FlowerXL Poroc_San_FlowerXU S.MagbangonXL S.MagbangonXU San_AgustinXL San_AgustinXU Sitio_BaybayonXL Sitio_BaybayonXU Tamakin_DacotXL Tamakin_DacotXU ViscaXL ViscaXU WangagXL WangagXU
1 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.2357 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.1867 0.0001 0.9983 0.0001 0.9983
2 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983
3 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.8352 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.8529 0.0001 0.9983 0.0001 0.9983
4 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983
5 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983
6 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983
7 0.0001 0.4264 0.0001 0.4993 0.0001 0.4993 0.0001 0.6171 0.0001 0.9543 0.0229 0.7632 0.0001 0.4993 0.0001 0.2358 0.0001 0.3986 0.0001 0.4544 0.0001 0.4436 0.0001 0.4952 0.0001 0.4993 0.0056 0.1308 0.0001 0.3364 0.0001 0.4991
8 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.2332 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.1735 0.0001 0.9983 0.0001 0.9983
9 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.6860 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.6620 0.0001 0.9983 0.0001 0.9983
10 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.8011 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.8704 0.0001 0.9983 0.0001 0.9983
11 0.0001 0.5721 0.0001 0.5721 0.0001 0.5099 0.0001 0.4502 0.0001 0.5441 0.0001 0.5715 0.0001 0.4821 0.0423 0.6927 0.0001 0.5721 0.0001 0.5867 0.0001 0.4714 0.0001 0.3086 0.0001 0.4977 0.0001 0.3389 0.0001 0.7177 0.0001 0.3930
12 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.4920 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.4992 0.0001 0.9983 0.0001 0.9983
13 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.2353 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.1170 0.0001 0.9983 0.0001 0.9983
14 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.4967 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.4712 0.0001 0.9983 0.0001 0.9983
15 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983
16 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.2348 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.9983 0.0001 0.1154 0.0001 0.9983 0.0001 0.9983
