Pop Cabatoan Caridad_Cemetery Elementary_School Gabas Haina Hicgop_South N.Magbangon Palanas Poroc_Rose Poroc_San_Flower S.Magbangon San_Agustin Sitio_Baybayon Tamakin_Dacot Visca Wangag Ghost
1 0.9970 0.0002 0.0001 0.0002 0.0001 0.0001 0.0002 0.0001 0.0002 0.0002 0.0002 0.0001 0.0002 0.0001 0.0002 0.0002 0.0006
2 0.0002 0.9970 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002 0.0003 0.0002 0.0002 0.0001 0.0002 0.0002 0.0000
3 0.0002 0.0002 0.0001 0.0002 0.0002 0.0002 0.0002 0.0001 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002 0.9970
4 0.0001 0.0002 0.0003 0.9970 0.0003 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002 0.0001 0.0002 0.0002 0.0000
5 0.0002 0.0002 0.0002 0.0002 0.9969 0.0002 0.0002 0.0002 0.0002 0.0002 0.0003 0.0002 0.0002 0.0002 0.0002 0.0002 0.0000
6 0.0002 0.0002 0.0002 0.0002 0.0002 0.9969 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002 0.0003 0.0000
7 0.0002 0.0002 0.0002 0.0002 0.0001 0.0792 0.0001 0.0001 0.0002 0.0002 0.0001 0.0002 0.0003 0.0291 0.0002 0.0001 0.8893
8 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002 0.0001 0.0002 0.0002 0.0001 0.0002 0.0002 0.0002 0.0002 0.0002 0.9970
9 0.0002 0.0001 0.0002 0.0001 0.0002 0.0001 0.0002 0.0001 0.0001 0.0002 0.0002 0.0002 0.0002 0.0001 0.0002 0.0002 0.9974
10 0.0002 0.0001 0.0002 0.0002 0.0002 0.0001 0.0002 0.0001 0.0002 0.9970 0.0002 0.0001 0.0002 0.0001 0.0002 0.0002 0.0005
11 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002 0.1999 0.0002 0.0002 0.0001 0.0002 0.0002 0.0002 0.0002 0.0002 0.7972
12 0.0002 0.0002 0.0002 0.0002 0.0001 0.0001 0.0001 0.0001 0.0002 0.0002 0.0002 0.9970 0.0002 0.0001 0.0002 0.0001 0.0006
13 0.0002 0.0002 0.0002 0.0002 0.0001 0.0001 0.0002 0.0001 0.0001 0.0001 0.0002 0.0002 0.9970 0.0001 0.0002 0.0002 0.0006
14 0.0002 0.0001 0.0002 0.0002 0.0002 0.0002 0.0002 0.0001 0.0002 0.0002 0.0001 0.0002 0.0002 0.0001 0.0002 0.0002 0.9972
15 0.0002 0.0002 0.0002 0.0002 0.0002 0.0001 0.0002 0.0002 0.0002 0.0002 0.0003 0.0002 0.0002 0.0002 0.9970 0.0002 0.0000
16 0.0002 0.0002 0.0002 0.0001 0.0002 0.0001 0.0002 0.0001 0.0002 0.0002 0.0002 0.0001 0.0002 0.0001 0.0002 0.9970 0.0005
