Pop Caridad_CemeteryXL Caridad_CemeteryXU Elementary_SchoolXL Elementary_SchoolXU GabasXL GabasXU HainaXL HainaXU Hicgop_SouthXL Hicgop_SouthXU PalanasXL PalanasXU Poroc_RoseXL Poroc_RoseXU Poroc_San_FlowerXL Poroc_San_FlowerXU San_AgustinXL San_AgustinXU Sitio_BaybayonXL Sitio_BaybayonXU Tamakin_DacotXL Tamakin_DacotXU ViscaXL ViscaXU WangagXL WangagXU
1 0.0001 0.9986 0.0001 0.7341 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.6900 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0002 0.9986 0.0001 0.9986 0.0001 0.4241
2 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.3127 0.0001 0.9986 0.0001 0.9986 0.0001 0.7351 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.5272
3 0.0001 0.9986 0.0001 0.9986 0.6141 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.4650 0.0001 0.4991 0.0002 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.5681
4 0.0001 0.9986 0.0001 0.4372 0.0001 0.4889 0.4685 0.9981 0.0001 0.9986 0.0001 0.1974 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.6900
5 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.4756 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.1801
6 0.0001 0.7629 0.0001 0.8079 0.0002 0.6902 0.0001 0.3364 0.0001 0.8079 0.0445 0.3564 0.0001 0.6966 0.0001 0.6901 0.0001 0.8079 0.0001 0.8091 0.0001 0.8813 0.0001 0.6623 0.0001 0.0968
7 0.0001 0.9986 0.0001 0.9986 0.0002 0.9986 0.0001 0.9986 0.0001 0.6860 0.0001 0.4893 0.0001 0.9986 0.0001 0.9986 0.0001 0.8107 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.5523
8 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.8079 0.0001 0.8355 0.0001 0.9986 0.6828 0.9986 0.0001 0.6107 0.0001 0.9986 0.0001 0.5004 0.0001 0.9986 0.0001 0.9986
9 0.0001 0.4266 0.0001 0.4609 0.0001 0.7088 0.0001 0.5000 0.0001 0.2621 0.0944 0.6968 0.0001 0.6623 0.0001 0.3087 0.0001 0.4999 0.0001 0.6447 0.0001 0.4700 0.0001 0.8636 0.0001 0.3087
10 0.0001 0.8079 0.0001 0.4267 0.0001 0.4994 0.0001 0.4553 0.0001 0.5100 0.0001 0.0451 0.0002 0.4731 0.0001 0.3089 0.0001 0.7471 0.7278 0.9979 0.0001 0.4266 0.0001 0.2637 0.0119 0.2475
11 0.0001 0.9986 0.0001 0.4256 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.1220 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.1523
12 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.1801 0.0001 0.4635 0.0002 0.9986 0.0001 0.3087 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.2702
13 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.0729 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.1932
