Pop Cabatoan Elementary_School Haina Hicgop_South N.Magbangon Palanas Poroc_Rose S.Magbangon San_Agustin Sitio_Baybayon Tamakin_Dacot Visca Wangag Ghost
1 0.9616 0.0033 0.0032 0.0033 0.0032 0.0032 0.0033 0.0032 0.0032 0.0031 0.0031 0.0031 0.0032 0.0000
2 0.0032 0.9616 0.0001 0.0032 0.0032 0.0032 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0032 0.0217
3 0.0032 0.0001 0.0001 0.0000 0.0001 0.0032 0.2000 0.0032 0.0001 0.0001 0.0001 0.0001 0.0001 0.7896
4 0.0001 0.0001 0.0033 0.9616 0.0032 0.0001 0.0001 0.0001 0.0032 0.0001 0.0001 0.0001 0.0032 0.0247
5 0.0032 0.0032 0.0033 0.0032 0.9617 0.0032 0.0032 0.0033 0.0032 0.0032 0.0032 0.0029 0.0032 0.0000
6 0.0032 0.0032 0.0001 0.0032 0.0032 0.9616 0.0001 0.0001 0.0032 0.0001 0.0001 0.0001 0.0001 0.0217
7 0.0032 0.0032 0.0032 0.0032 0.0033 0.0033 0.9616 0.0032 0.0032 0.0031 0.0033 0.0030 0.0032 0.0000
8 0.0032 0.0032 0.0001 0.0032 0.0001 0.0032 0.0001 0.9616 0.0001 0.0001 0.0001 0.0001 0.0032 0.0217
9 0.0032 0.0032 0.0033 0.0032 0.0033 0.0033 0.0032 0.0032 0.9616 0.0031 0.0031 0.0031 0.0032 0.0000
10 0.0032 0.0001 0.0001 0.0032 0.0001 0.0001 0.0001 0.0032 0.0000 0.7505 0.0634 0.2351 0.0032 0.0000
11 0.0032 0.0001 0.0033 0.0032 0.0032 0.0001 0.0032 0.0032 0.0032 0.0032 0.0001 0.0032 0.0032 0.9676
12 0.0032 0.0033 0.0032 0.0033 0.0032 0.0032 0.0032 0.0032 0.0033 0.0031 0.0033 0.9613 0.0032 0.0000
13 0.0032 0.0032 0.0001 0.0032 0.0032 0.0032 0.0016 0.0032 0.0032 0.0017 0.0001 0.0001 0.0001 0.9739
