Pop CabatoanXL CabatoanXU Caridad_CemeteryXL Caridad_CemeteryXU Caridad_ProperXL Caridad_ProperXU Elementary_SchoolXL Elementary_SchoolXU GabasXL GabasXU HainaXL HainaXU Hicgop_SouthXL Hicgop_SouthXU N.MagbangonXL N.MagbangonXU PalanasXL PalanasXU Poroc_RoseXL Poroc_RoseXU Poroc_San_FlowerXL Poroc_San_FlowerXU S.MagbangonXL S.MagbangonXU San_AgustinXL San_AgustinXU Sitio_BaybayonXL Sitio_BaybayonXU Sitio_LonasXL Sitio_LonasXU Sitio_TugasXL Sitio_TugasXU Tamakin_DacotXL Tamakin_DacotXU ViscaXL ViscaXU WangagXL WangagXU
1 0.0001 0.3150 0.0001 0.8357 0.0001 0.8055 0.0001 0.9980 0.0001 0.6906 0.0001 0.4844 0.0001 0.8080 0.1202 0.8316 0.0001 0.7569 0.0001 0.8074 0.0001 0.8080 0.0001 0.6906 0.0001 0.2357 0.0001 0.6174 0.0001 0.9980 0.0001 0.6168 0.0001 0.8074 0.0001 0.8802 0.1217 0.3557
2 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.6791 0.0001 0.9980 0.0001 0.8524 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980
3 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.3084 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980
4 0.0001 0.9980 0.0001 0.2629 0.0001 0.1906 0.0001 0.8247 0.0001 0.6800 0.0001 0.9980 0.0001 0.9980 0.0001 0.5457 0.0001 0.9980 0.0001 0.3085 0.0001 0.7354 0.0001 0.8352 0.0001 0.4263 0.0001 0.5006 0.0001 0.6618 0.0001 0.4712 0.0001 0.6765 0.0001 0.8352 0.0001 0.9980
5 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980
6 0.0001 0.4263 0.0001 0.5007 0.0001 0.6987 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.6906 0.0001 0.5006 0.0001 0.6897 0.0001 0.5161 0.0001 0.5004 0.0001 0.8049 0.0001 0.8186 0.0001 0.8069 0.0001 0.4996 0.0001 0.6896 0.0001 0.8074 0.0001 0.6064 0.0001 0.9980
7 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.8080 0.0001 0.9980 0.0001 0.8071 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.8074 0.0001 0.9980 0.0001 0.9980
8 0.0001 0.7518 0.0001 0.9374 0.0001 0.5732 0.0001 0.8895 0.0001 0.5732 0.0001 0.4720 0.0026 0.1541 0.0001 0.4410 0.0001 0.7224 0.0001 0.6933 0.0001 0.5725 0.0001 0.8074 0.0001 0.6897 0.0001 0.6125 0.0001 0.4232 0.0001 0.6907 0.0001 0.6204 0.0001 0.7174 0.0001 0.8515
9 0.0001 0.6169 0.0001 0.5047 0.0001 0.9080 0.0001 0.9253 0.0001 0.8136 0.0001 0.6168 0.0001 0.6790 0.0001 0.5788 0.0375 0.7327 0.0112 0.5164 0.0001 0.4835 0.0001 0.7518 0.0001 0.7058 0.0001 0.5893 0.0001 0.4975 0.0001 0.3869 0.0001 0.8090 0.0001 0.6872 0.0754 0.6253
10 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.6174 0.0001 0.8806 0.0001 0.7947 0.0001 0.8196 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.7347 0.0001 0.9980 0.0001 0.3980
11 0.0001 0.7624 0.0001 0.5732 0.0001 0.4265 0.0001 0.9540 0.0001 0.6897 0.0001 0.9980 0.0001 0.9531 0.0001 0.6865 0.0001 0.6915 0.0001 0.6896 0.0001 0.6898 0.0001 0.8171 0.0001 0.7068 0.0001 0.8357 0.0001 0.7624 0.0001 0.6912 0.0001 0.8114 0.0001 0.6619 0.0001 0.7550
12 0.0001 0.6906 0.0001 0.7093 0.0001 0.6896 0.0001 0.9980 0.0001 0.6890 0.0001 0.9980 0.0001 0.8357 0.0001 0.6915 0.0001 0.9980 0.0001 0.6159 0.0001 0.9980 0.0001 0.6168 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.7616 0.0001 0.8072 0.0001 0.5021 0.0001 0.8315
13 0.0001 0.7346 0.0001 0.9980 0.0001 0.9980 0.0001 0.4263 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.6912 0.0001 0.8352 0.0001 0.6792 0.0001 0.9980 0.0001 0.8009 0.0001 0.9980 0.0001 0.9980 0.0001 0.6618 0.0001 0.6937 0.0001 0.5284
14 0.0001 0.6939 0.0002 0.4991 0.0001 0.5112 0.0001 0.6105 0.0001 0.4991 0.0001 0.8358 0.0001 0.6881 0.0001 0.9383 0.0001 0.4260 0.0001 0.6876 0.0001 0.4729 0.0001 0.6894 0.0001 0.1866 0.1676 0.6708 0.0001 0.2054 0.0001 0.5007 0.0001 0.8087 0.0001 0.2110 0.0001 0.7058
15 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980
16 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980
17 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.5731 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.8115 0.0001 0.9980 0.0001 0.9980
18 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.6728 0.0001 0.9980 0.0001 0.7043 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.9980 0.0001 0.7609 0.0001 0.9980 0.0001 0.9980
19 0.0001 0.6906 0.0001 0.6275 0.0001 0.5732 0.0001 0.6196 0.0001 0.8167 0.0001 0.6657 0.0001 0.7609 0.0001 0.5903 0.1104 0.8846 0.0001 0.7346 0.0001 0.6896 0.0001 0.2676 0.0001 0.8765 0.0001 0.5037 0.0001 0.6906 0.0001 0.6896 0.0001 0.1179 0.0001 0.5482 0.2047 0.6464
