Pop Cabatoan Caridad_Cemetery Caridad_Proper Elementary_School Gabas Haina Hicgop_South N.Magbangon Palanas Poroc_Rose Poroc_San_Flower S.Magbangon San_Agustin Sitio_Baybayon Sitio_Lonas Sitio_Tugas Tamakin_Dacot Visca Wangag Ghost
1 0.0002 0.0032 0.0032 0.0002 0.0032 0.0032 0.0032 0.2949 0.2179 0.0001 0.0033 0.0001 0.0001 0.0032 0.0001 0.0001 0.0001 0.0001 0.2047 0.2589
2 0.0027 0.0001 0.0031 0.0006 0.0001 0.0029 0.0016 0.0032 0.0004 0.0032 0.0032 0.0001 0.0001 0.0002 0.0001 0.0032 0.0001 0.0017 0.0032 0.9702
3 0.0001 0.0001 0.9424 0.0003 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0030 0.0001 0.0001 0.0001 0.0001 0.0001 0.0527
4 0.0001 0.0001 0.0001 0.0001 0.0032 0.0001 0.0001 0.0002 0.4069 0.0001 0.0032 0.0001 0.0001 0.0032 0.0001 0.0001 0.0001 0.0001 0.4426 0.1394
5 0.0029 0.0031 0.0001 0.0032 0.0001 0.0032 0.0001 0.0006 0.0005 0.0005 0.0032 0.0001 0.0032 0.0002 0.0001 0.0001 0.0028 0.0023 0.0004 0.9733
6 0.0001 0.0033 0.0032 0.0006 0.0032 0.0001 0.0032 0.0032 0.0003 0.0343 0.0032 0.0001 0.0032 0.5548 0.0001 0.0001 0.0001 0.0001 0.0024 0.3844
7 0.0032 0.0001 0.0032 0.0032 0.0032 0.0032 0.0032 0.0032 0.0032 0.0032 0.0032 0.0001 0.0032 0.0032 0.0001 0.0032 0.0001 0.0032 0.0032 0.9516
8 0.0001 0.0001 0.0032 0.0018 0.0032 0.0015 0.0340 0.3109 0.0989 0.0120 0.0032 0.0001 0.0002 0.0032 0.0001 0.0032 0.0121 0.0001 0.0997 0.4124
9 0.0001 0.0033 0.0001 0.0019 0.0032 0.0001 0.0001 0.1414 0.4151 0.0139 0.0032 0.0001 0.0001 0.1515 0.0001 0.0002 0.0001 0.0001 0.1506 0.1148
10 0.0032 0.0032 0.0033 0.0032 0.0001 0.0032 0.0032 0.6226 0.0033 0.0001 0.0032 0.0001 0.0032 0.0032 0.0001 0.0032 0.0001 0.0032 0.0032 0.3351
11 0.0001 0.0033 0.0003 0.0001 0.0003 0.0001 0.0001 0.0030 0.0001 0.0001 0.0001 0.0506 0.0001 0.0032 0.0001 0.0001 0.0001 0.0001 0.5119 0.4262
12 0.0032 0.0032 0.0001 0.0032 0.0001 0.0032 0.0032 0.0032 0.2360 0.0001 0.0032 0.0001 0.0001 0.0032 0.0032 0.0033 0.0001 0.0032 0.2414 0.4867
13 0.0001 0.0032 0.0002 0.0001 0.0032 0.0001 0.0001 0.0032 0.7515 0.0001 0.0001 0.0001 0.0001 0.0001 0.0032 0.0001 0.0001 0.0001 0.0032 0.2311
14 0.0138 0.0002 0.0032 0.0008 0.0001 0.0001 0.0001 0.0001 0.0014 0.0001 0.0032 0.0001 0.0001 0.3350 0.0001 0.0033 0.0066 0.0252 0.1308 0.4757
15 0.0030 0.0032 0.0001 0.0032 0.0001 0.0014 0.0001 0.0003 0.0032 0.0001 0.0032 0.0001 0.0001 0.0003 0.0001 0.0001 0.0001 0.0019 0.0032 0.9762
16 0.0029 0.0035 0.0033 0.0033 0.0032 0.0034 0.0027 0.0031 0.0030 0.0032 0.0033 0.0036 0.0034 0.0030 0.0035 0.9426 0.0032 0.0029 0.0029 0.0000
17 0.0001 0.0032 0.0001 0.0032 0.0032 0.0026 0.0026 0.0007 0.0032 0.0032 0.0001 0.0001 0.0001 0.0032 0.0032 0.0032 0.0001 0.0007 0.0032 0.9640
18 0.0032 0.0001 0.0032 0.0032 0.0032 0.0027 0.0032 0.0006 0.0032 0.0001 0.0001 0.0001 0.0001 0.0032 0.0064 0.0001 0.0001 0.2119 0.0032 0.7521
19 0.0001 0.0001 0.0032 0.1151 0.0032 0.0115 0.0001 0.0032 0.2207 0.0001 0.0001 0.0057 0.0032 0.1352 0.0033 0.0001 0.0001 0.0093 0.2961 0.1896
