PopI CI_(J=1) CI_(J=2) CI_(J=3) CI_(J=4) CI_(J=5) CI_(J=6) CI_(J=7) CI_(J=8) CI_(J=9) CI_(J=10) CI_(J=11) CI_(J=12) CI_(J=13) CI_(J=14) CI_(J=15) CI_(J=16) CI_(J=17)
1 0.0001-0.6938 0.0006-0.5001 0.0001-0.1907 0.0001-0.5277 0.0001-0.4721 0.0001-0.4645 0.0001-0.5999 0.0541-0.6012 0.0011-0.6902 0.0001-0.7628 0.0001-0.6898 0.0001-0.3098 0.0001-0.4263 0.0001-0.5103 0.0001-0.7348 0.0001-0.3192 0.0002-0.6899
2 0.0006-0.9982 0.0001-0.9982 0.0009-0.3096 0.0006-0.5616 0.0001-0.9982 0.0001-0.9982 0.0001-0.9982 0.0001-0.8075 0.0001-0.9982 0.0001-0.9982 0.0001-0.9982 0.0001-0.9982 0.0001-0.9982 0.0001-0.9982 0.0001-0.9982 0.0005-0.4999 0.0001-0.6898
3 0.0005-0.6216 0.0009-0.9982 0.0001-0.4991 0.0009-0.9982 0.0006-0.9982 0.0001-0.3813 0.0007-0.9982 0.0001-0.8079 0.0008-0.6968 0.0001-0.9982 0.0001-0.6241 0.0001-0.9982 0.0001-0.9982 0.0001-0.9982 0.0001-0.9982 0.0001-0.3798 0.0002-0.6881
4 0.0008-0.5716 0.0006-0.8790 0.0001-0.5727 0.0001-0.7624 0.0001-0.8806 0.0009-0.3096 0.0006-0.6902 0.1393-0.4587 0.0007-0.5105 0.0001-0.8081 0.0001-0.5270 0.0008-0.4998 0.0004-0.6906 0.0001-0.1919 0.0001-0.6902 0.0006-0.6625 0.0162-0.7208
5 0.0012-0.6175 0.0007-0.6004 0.0005-0.4999 0.0001-0.3823 0.0001-0.3028 0.0006-0.6901 0.0009-0.5726 0.0001-0.4999 0.0010-0.6837 0.0001-0.3880 0.0001-0.7114 0.0852-0.9982 0.0001-0.7058 0.0011-0.8119 0.0001-0.4991 0.0001-0.6124 0.0002-0.6898
6 0.0001-0.4263 0.0001-0.9982 0.0001-0.9982 0.0001-0.9982 0.0001-0.9982 0.0001-0.9982 0.0001-0.9982 0.0001-0.4991 0.0001-0.9982 0.0011-0.9982 0.0001-0.9982 0.0001-0.9982 0.0003-0.9982 0.0001-0.9982 0.0001-0.3088 0.0001-0.4991 0.0001-0.6788
7 0.0012-0.3373 0.0001-0.5891 0.0006-0.8079 0.0001-0.4263 0.0001-0.8075 0.0001-0.6833 0.2642-0.8629 0.0674-0.8239 0.0013-0.6640 0.0001-0.6726 0.0001-0.8804 0.0001-0.1179 0.0001-0.4263 0.0001-0.4992 0.0001-0.3060 0.0001-0.8698 0.0001-0.3388
8 0.0208-0.6367 0.0006-0.6175 0.0001-0.7180 0.0002-0.6892 0.0001-0.8074 0.0001-0.6895 0.0586-0.7171 0.0335-0.4693 0.0002-0.3814 0.0001-0.3092 0.0001-0.5277 0.0100-0.6194 0.0001-0.8077 0.0001-0.8076 0.0068-0.8125 0.0001-0.4783 0.0022-0.3635
9 0.3268-0.8917 0.0001-0.6185 0.0001-0.7069 0.0001-0.7344 0.0001-0.4991 0.0001-0.7625 0.0001-0.4945 0.0001-0.3812 0.0001-0.4885 0.0007-0.4999 0.0001-0.4991 0.0001-0.6731 0.0001-0.8072 0.0001-0.3160 0.0001-0.5726 0.0001-0.4991 0.1280-0.6023
10 0.1348-0.9095 0.0014-0.3096 0.0001-0.3429 0.0002-0.8186 0.0001-0.3192 0.0002-0.6448 0.0001-0.4994 0.0667-0.8764 0.0001-0.7175 0.0001-0.6104 0.0001-0.3813 0.3687-0.5394 0.0001-0.2645 0.0008-0.5261 0.0001-0.4263 0.0001-0.4885 0.0006-0.3889
11 0.0002-0.7693 0.0010-0.8790 0.0009-0.3092 0.0001-0.5726 0.0001-0.6797 0.0001-0.8012 0.0005-0.5723 0.1041-0.8179 0.0001-0.8066 0.0001-0.8354 0.0173-0.8265 0.0001-0.4991 0.0011-0.3094 0.0001-0.1917 0.0001-0.5335 0.0001-0.5335 0.0001-0.4260
12 0.0001-0.3087 0.0007-0.6176 0.0001-0.3085 0.0001-0.5030 0.0001-0.3774 0.0001-0.3875 0.0006-0.3374 0.0012-0.4832 0.0013-0.2646 0.0001-0.3651 0.0001-0.4992 0.0001-0.4550 0.0001-0.4994 0.0001-0.4984 0.0021-0.9982 0.0005-0.5013 0.0001-0.2808
13 0.0001-0.9982 0.0001-0.9982 0.0001-0.9982 0.0001-0.9982 0.0001-0.9982 0.0001-0.9982 0.0001-0.7625 0.0001-0.9982 0.0001-0.9982 0.0001-0.9982 0.0001-0.4713 0.0001-0.9982 0.4912-0.9982 0.0001-0.5264 0.0001-0.3585 0.0001-0.8870 0.0001-0.3538
14 0.0001-0.6620 0.0006-0.6902 0.0001-0.4958 0.0014-0.3823 0.0001-0.9982 0.0001-0.6453 0.0001-0.9982 0.0001-0.5720 0.0001-0.4992 0.0001-0.5785 0.0001-0.9982 0.0001-0.9982 0.0001-0.9982 0.0001-0.9982 0.0001-0.9982 0.0001-0.6686 0.0001-0.9982
15 0.0001-0.4992 0.0005-0.4997 0.0001-0.9982 0.0001-0.9982 0.0007-0.9982 0.0001-0.3388 0.0001-0.6901 0.0001-0.5105 0.0007-0.9982 0.0001-0.9982 0.0001-0.9982 0.0001-0.6559 0.0001-0.9982 0.0001-0.9982 0.0001-0.9982 0.0012-0.3096 0.0002-0.6892
16 0.0009-0.2924 0.0001-0.1114 0.0001-0.6898 0.0001-0.4998 0.0001-0.3773 0.0001-0.4829 0.0006-0.3823 0.4791-0.9503 0.0001-0.4992 0.0008-0.1749 0.0001-0.6173 0.0001-0.5030 0.0001-0.5092 0.0001-0.6175 0.0001-0.2636 0.0084-0.7072 0.0001-0.5613
17 0.0009-0.5726 0.0001-0.3085 0.0001-0.5726 0.0001-0.4955 0.0127-0.7439 0.0001-0.8079 0.0001-0.4999 0.1282-0.7278 0.0009-0.6900 0.0014-0.2961 0.0001-0.4999 0.0001-0.5492 0.0001-0.5016 0.0001-0.3888 0.0001-0.4999 0.0001-0.1918 0.0148-0.7061
