PopI CIJ_1 CIJ_2 CIJ_3 CIJ_4 CIJ_5 CIJ_6 CIJ_7 CIJ_8 CIJ_9 CIJ_10 CIJ_11 CIJ_12 CIJ_13 CIJ_14 CIJ_15 CIJ_16
1 0.0001-0.4370 0.0001-0.5017 0.0001-0.5204 0.0001-0.4992 0.0001-0.6899 0.0001-0.4993 0.0001-0.4886 0.1221-0.9983 0.0001-0.5270 0.0001-0.5033 0.0001-0.5009 0.0001-0.5270 0.0001-0.7348 0.0001-0.7624 0.0001-0.4986 0.0001-0.3020
2 0.0001-0.5270 0.0001-0.9983 0.0001-0.9983 0.0001-0.4992 0.0001-0.9983 0.0001-0.9983 0.0001-0.9983 0.0001-0.9983 0.0001-0.9983 0.0001-0.9983 0.0001-0.9983 0.0001-0.9983 0.0002-0.9983 0.0001-0.9983 0.0001-0.4754 0.0001-0.9983
3 0.0001-0.1918 0.0001-0.9983 0.0001-0.9983 0.0001-0.9983 0.0001-0.4992 0.0001-0.5036 0.0001-0.9983 0.0001-0.4264 0.0001-0.1907 0.0001-0.9983 0.0001-0.5270 0.0001-0.8803 0.0001-0.6251 0.0001-0.9983 0.0001-0.8077 0.0001-0.9983
4 0.0001-0.4266 0.0001-0.3086 0.0001-0.1905 0.0001-0.4264 0.0001-0.3258 0.0001-0.4583 0.0001-0.4992 0.0311-0.3817 0.0001-0.3021 0.0001-0.4390 0.0001-0.5720 0.0001-0.3086 0.0001-0.8077 0.0001-0.3814 0.0001-0.5270 0.0001-0.8077
5 0.0001-0.8117 0.0001-0.3089 0.0001-0.2913 0.0001-0.7086 0.0001-0.5680 0.0001-0.3101 0.0001-0.4990 0.0001-0.1932 0.0001-0.5270 0.0001-0.3086 0.0001-0.4992 0.1328-0.9983 0.0001-0.6788 0.0001-0.4992 0.0001-0.6155 0.0001-0.4876
6 0.0001-0.3086 0.0001-0.2981 0.0001-0.3823 0.0001-0.9983 0.0001-0.9983 0.0001-0.9983 0.0001-0.9983 0.0001-0.3084 0.0001-0.9983 0.0001-0.9983 0.0001-0.9983 0.0001-0.9983 0.0001-0.9983 0.0001-0.9983 0.0001-0.9983 0.0001-0.9983
7 0.0001-0.4436 0.0001-0.3020 0.0001-0.2917 0.0001-0.5114 0.0001-0.4264 0.0001-0.4990 0.1555-0.8813 0.0452-0.3749 0.0001-0.4264 0.0001-0.5008 0.0001-0.6904 0.0001-0.7733 0.0001-0.6727 0.0001-0.3808 0.0001-0.4992 0.0001-0.6621
8 0.0035-0.2706 0.0001-0.6883 0.0001-0.1857 0.0001-0.6898 0.0001-0.3076 0.0001-0.1973 0.0588-0.7536 0.0109-0.4949 0.0001-0.6773 0.0001-0.4992 0.0001-0.7009 0.0093-0.7047 0.0001-0.8355 0.0001-0.8014 0.0631-0.7919 0.1074-0.7477
9 0.1590-0.9983 0.0001-0.6900 0.0001-0.2186 0.0001-0.1892 0.0001-0.4264 0.0001-0.3126 0.0001-0.4992 0.0001-0.1867 0.0001-0.4992 0.0001-0.4304 0.0001-0.8010 0.0001-0.5720 0.0001-0.1907 0.0001-0.7627 0.0001-0.3192 0.0001-0.5745
10 0.1506-0.5201 0.0001-0.4992 0.0001-0.4265 0.0001-0.3707 0.0001-0.1982 0.0001-0.3192 0.0001-0.3839 0.1301-0.7464 0.0001-0.6621 0.0001-0.4299 0.0001-0.3086 0.1332-0.5239 0.0001-0.5720 0.0001-0.1604 0.0001-0.5270 0.0001-0.2080
11 0.0001-0.3814 0.0001-0.4992 0.0001-0.4498 0.0001-0.4314 0.0001-0.4992 0.0001-0.1907 0.0001-0.4986 0.0357-0.6538 0.0001-0.5073 0.0001-0.4992 0.2702-0.9441 0.0001-0.1801 0.0001-0.8462 0.0001-0.6858 0.0001-0.1802 0.0001-0.4992
12 0.0001-0.2079 0.0001-0.5270 0.0001-0.3086 0.0001-0.3086 0.0001-0.4239 0.0001-0.4192 0.0001-0.7627 0.0001-0.1882 0.0001-0.4992 0.0001-0.3082 0.0001-0.6170 0.0001-0.4992 0.0001-0.6605 0.0001-0.6277 0.1075-0.9983 0.0001-0.8075
13 0.0001-0.9983 0.0001-0.9983 0.0001-0.9983 0.0001-0.9983 0.0001-0.3961 0.0001-0.9983 0.0001-0.9983 0.0001-0.3364 0.0001-0.9983 0.0001-0.3814 0.0001-0.9983 0.0001-0.9983 0.0001-0.9983 0.0001-0.9983 0.0001-0.7348 0.0001-0.9983
14 0.0001-0.1892 0.0001-0.5108 0.0001-0.9983 0.0001-0.9983 0.0001-0.9983 0.0001-0.9983 0.0001-0.3365 0.0001-0.4264 0.0001-0.9983 0.0001-0.9983 0.0001-0.7069 0.0001-0.6902 0.0001-0.9983 0.0001-0.6276 0.0001-0.7692 0.0001-0.9983
15 0.0001-0.3829 0.0001-0.4992 0.0002-0.5099 0.0001-0.4567 0.0001-0.5139 0.0001-0.7055 0.0001-0.3126 0.1017-0.8709 0.0001-0.4264 0.0001-0.3814 0.0001-0.6898 0.0001-0.2529 0.0001-0.3814 0.0002-0.3803 0.0001-0.4158 0.0148-0.6447
16 0.0001-0.5338 0.0001-0.4266 0.0001-0.2914 0.0001-0.3064 0.0992-0.5597 0.0001-0.7349 0.0001-0.2078 0.0837-0.2946 0.0001-0.4265 0.0001-0.4501 0.0001-0.4886 0.0001-0.5720 0.0002-0.6899 0.0001-0.4992 0.0001-0.6342 0.0001-0.4992
