PopI CabatoanXL CabatoanXU Caridad_CemeteryXL Caridad_CemeteryXU Caridad_ProperXL Caridad_ProperXU Elementary_SchoolXL Elementary_SchoolXU HainaXL HainaXU Hicgop_SouthXL Hicgop_SouthXU N.MagbangonXL N.MagbangonXU PalanasXL PalanasXU Poroc_RoseXL Poroc_RoseXU Poroc_San_FlowerXL Poroc_San_FlowerXU S.MagbangonXL S.MagbangonXU San_AgustinXL San_AgustinXU Sitio_BaybayonXL Sitio_BaybayonXU Sitio_TugasXL Sitio_TugasXU Tamakin_DacotXL Tamakin_DacotXU ViscaXL ViscaXU WangagXL WangagXU
1 0.0001 0.1114 0.0001 0.7176 0.0001 0.4264 0.0001 0.6898 0.0001 0.7520 0.0001 0.4729 0.0001 0.1195 0.1948 0.8035 0.0002 0.4992 0.0001 0.7800 0.0001 0.1802 0.0001 0.8012 0.0001 0.7914 0.0001 0.4882 0.0001 0.8077 0.0001 0.6924 0.0002 0.7627
2 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0002 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0000 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982
3 0.0001 0.9982 0.0002 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.7898 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982
4 0.0001 0.5160 0.0001 0.5029 0.0001 0.4993 0.0002 0.7904 0.0001 0.6726 0.0001 0.9254 0.0001 0.9982 0.0476 0.7201 0.0002 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.1907 0.0001 0.6170 0.0001 0.9982 0.0001 0.7626 0.0001 0.9982 0.0001 0.4992
5 0.0002 0.6898 0.0002 0.4987 0.0001 0.6938 0.0001 0.4196 0.0001 0.6895 0.0001 0.4992 0.0001 0.9229 0.0001 0.7347 0.0002 0.7348 0.0001 0.7454 0.0001 0.4992 0.0001 0.5720 0.0804 0.9982 0.0001 0.3818 0.0001 0.9982 0.0001 0.9982 0.0002 0.7904
6 0.0001 0.9982 0.0002 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.5719 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982
7 0.0002 0.4260 0.0001 0.1893 0.0001 0.6898 0.0002 0.4289 0.0001 0.5033 0.0001 0.7070 0.0238 0.5791 0.1073 0.6437 0.0002 0.4264 0.0001 0.7338 0.0001 0.3087 0.0001 0.6610 0.0001 0.5270 0.0001 0.8977 0.0001 0.6792 0.0002 0.6166 0.0002 0.7522
8 0.0068 0.3932 0.0001 0.6883 0.0001 0.4977 0.0001 0.2696 0.0001 0.7733 0.0001 0.4265 0.0001 0.8076 0.0839 0.3572 0.0002 0.5155 0.0001 0.6554 0.0001 0.7965 0.0001 0.8076 0.0266 0.7042 0.0001 0.7626 0.0001 0.6964 0.1157 0.7402 0.0075 0.5109
9 0.0759 0.9982 0.0002 0.4992 0.0001 0.3365 0.0001 0.8076 0.0001 0.4992 0.0001 0.7626 0.0001 0.4991 0.0001 0.5332 0.0001 0.4957 0.0001 0.4994 0.0001 0.7134 0.0001 0.8066 0.0001 0.5720 0.0001 0.4992 0.0001 0.5386 0.0001 0.5163 0.0001 0.5441
10 0.1384 0.7154 0.0002 0.3062 0.0001 0.4264 0.0001 0.3086 0.0001 0.2366 0.0001 0.7348 0.0001 0.6963 0.1077 0.6985 0.0001 0.5270 0.0001 0.6729 0.0001 0.4991 0.0001 0.6898 0.2570 0.8554 0.0001 0.3092 0.0001 0.6621 0.0001 0.6907 0.0001 0.5967
11 0.0002 0.3097 0.0002 0.4265 0.0001 0.9982 0.0002 0.4280 0.0001 0.5163 0.0001 0.4967 0.0001 0.5720 0.0158 0.5210 0.0002 0.6620 0.0002 0.7348 0.0001 0.9982 0.0001 0.2640 0.0001 0.4643 0.0001 0.3085 0.0001 0.6899 0.0001 0.9982 0.0001 0.7344
12 0.0000 0.6104 0.0002 0.4993 0.0001 0.1803 0.0001 0.8804 0.0001 0.3085 0.0001 0.4975 0.0001 0.7349 0.1551 0.8909 0.0002 0.4119 0.0001 0.8354 0.0001 0.7323 0.0228 0.5586 0.0001 0.6897 0.0001 0.6963 0.0001 0.7732 0.0001 0.8070 0.0002 0.6144
13 0.0001 0.5270 0.0002 0.2359 0.0001 0.4264 0.0001 0.9982 0.0001 0.9982 0.0001 0.4992 0.0001 0.5033 0.0001 0.5786 0.0002 0.6616 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.3813 0.0001 0.9982 0.0001 0.9982 0.0214 0.9982 0.0001 0.5998
14 0.0001 0.9982 0.0002 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.5998 0.0001 0.6622
15 0.0001 0.9982 0.0002 0.9982 0.0002 0.6898 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.6660 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982 0.0001 0.9982
16 0.0002 0.4992 0.0002 0.4261 0.0001 0.4994 0.0001 0.4992 0.0001 0.4992 0.0001 0.7069 0.0001 0.8076 0.0599 0.6043 0.0002 0.4997 0.0001 0.6268 0.0001 0.1113 0.0001 0.3429 0.0001 0.3535 0.0001 0.8010 0.0001 0.6898 0.0001 0.4976 0.1162 0.7335
17 0.0001 0.5416 0.0002 0.3399 0.0001 0.4264 0.0001 0.3085 0.0077 0.5073 0.0001 0.4998 0.0001 0.6170 0.0434 0.7668 0.0002 0.5232 0.0001 0.4999 0.0001 0.1733 0.0001 0.7348 0.0001 0.6104 0.0001 0.7915 0.0001 0.3192 0.0001 0.7363 0.0001 0.6923
