PopI CI_L(J=1) CI_U(J=1) CI_L(J=2) CI_U(J=2) CI_L(J=3) CI_U(J=3) CI_L(J=4) CI_U(J=4) CI_L(J=5) CI_U(J=5) CI_L(J=6) CI_U(J=6) CI_L(J=7) CI_U(J=7) CI_L(J=8) CI_U(J=8) CI_L(J=9) CI_U(J=9) CI_L(J=10) CI_U(J=10) CI_L(J=11) CI_U(J=11) CI_L(J=12) CI_U(J=12) CI_L(J=13) CI_U(J=13) CI_L(J=14) CI_U(J=14)
1 0.0001 0.9927 0.0001 0.4935 0.0001 0.4885 0.0001 0.4829 0.6906 0.9985 0.0001 0.4715 0.0001 0.5001 0.0001 0.5319 0.0001 0.6900 0.0001 0.6925 0.0001 0.5728 0.0001 0.6733 0.0001 0.4723 0.0001 0.5003
2 0.0001 0.5270 0.0001 0.6991 0.0001 0.5452 0.0001 0.5493 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.6915 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985
3 0.0001 0.5278 0.0001 0.5283 0.0001 0.7072 0.0001 0.5447 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985
4 0.0001 0.7325 0.0001 0.1883 0.0001 0.5303 0.0001 0.3374 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985
5 0.0001 0.5619 0.0001 0.3086 0.0001 0.1908 0.0001 0.4974 0.1287 0.9273 0.0718 0.5732 0.0001 0.5031 0.0001 0.5281 0.0001 0.8259 0.0001 0.1467 0.0898 0.5910 0.0001 0.5035 0.0001 0.5721 0.0001 0.6956
6 0.0001 0.1933 0.0001 0.6565 0.0007 0.5107 0.0001 0.8700 0.0004 0.7301 0.3540 0.9985 0.0006 0.5041 0.0001 0.7047 0.0001 0.6864 0.0001 0.3086 0.0002 0.3820 0.0002 0.7075 0.0001 0.7934 0.0007 0.6905
7 0.0001 0.6171 0.0001 0.6900 0.0001 0.5035 0.0001 0.1973 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.8078 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985
8 0.0001 0.5108 0.0001 0.5721 0.0001 0.2702 0.0001 0.5271 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.8356 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985
9 0.0001 0.4891 0.0001 0.5278 0.0001 0.7073 0.0001 0.8078 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.4100 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985
10 0.0001 0.5132 0.0001 0.2785 0.0001 0.4748 0.0001 0.5280 0.0001 0.5467 0.0001 0.5450 0.0001 0.5451 0.0001 0.4445 0.0001 0.5556 0.1084 0.9985 0.0001 0.8016 0.0001 0.5017 0.0001 0.6904 0.0001 0.4960
11 0.0001 0.4993 0.0001 0.8038 0.0001 0.3511 0.0001 0.3092 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985
12 0.0001 0.5001 0.0001 0.7072 0.0001 0.5109 0.0001 0.3020 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985
13 0.0001 0.5438 0.0001 0.5721 0.0001 0.5278 0.0084 0.3168 0.0001 0.1285 0.0250 0.5277 0.0001 0.4697 0.0001 0.5002 0.0001 0.3815 0.0016 0.3283 0.0001 0.5443 0.0001 0.6106 0.5063 0.9863 0.0001 0.6889
14 0.0001 0.3098 0.0001 0.4272 0.0001 0.3097 0.0001 0.5001 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985 0.0001 0.9985
