Pop Pop1 Pop2 Pop3 Pop4 Pop5 Pop6 Pop7 Pop8 Pop9 Pop10 Pop11 Pop12 Pop13 Pop14 Ghost
1 0.9948 0.0001 0.0004 0.0001 0.0004 0.9998 0.0001 0.0005 0.0004 0.0004 0.0004 0.0004 0.0004 0.0001 0.0000
2 0.0006 0.9950 0.0008 0.0004 0.0002 0.0003 0.0001 0.0004 0.0004 0.0004 0.0002 0.0003 0.0005 0.0004 0.0000
3 0.0004 0.0004 0.0001 0.0004 0.0004 0.0004 0.0004 0.0005 0.0004 0.0004 0.0004 0.0004 0.0004 0.0004 0.9946
4 0.0004 0.0004 0.0004 0.0001 0.0004 0.0004 0.0004 0.0005 0.0004 0.0004 0.0001 0.0004 0.0004 0.0001 0.9952
5 0.0004 0.0004 0.0001 0.0001 0.0001 0.0004 0.0004 0.0005 0.0004 0.0004 0.0001 0.0001 0.0001 0.0001 0.9964
6 0.0000 0.0001 0.0004 0.0004 0.0001 0.7658 0.1496 0.0006 0.0003 0.0002 0.0001 0.0224 0.0001 0.0001 0.0598
7 0.0001 0.0004 0.0001 0.0004 0.0001 0.0002 0.8559 0.0005 0.0005 0.0001 0.0001 0.0001 0.0004 0.0003 0.1408
8 0.0004 0.0001 0.0004 0.0004 0.0001 0.0001 0.0003 0.0001 0.0004 0.0003 0.0002 0.0004 0.0004 0.0002 0.9962
9 0.0004 0.0004 0.0004 0.0004 0.0004 0.0004 0.0004 0.0005 0.0001 0.0004 0.0004 0.0004 0.0004 0.0004 0.9946
10 0.0003 0.0001 0.0001 0.0001 0.0001 0.0002 0.0003 0.0005 0.0004 0.0001 0.0002 0.0001 0.0004 0.0004 0.9967
11 0.0001 0.0004 0.0001 0.0004 0.0004 0.0004 0.0001 0.0005 0.0001 0.0013 0.5207 0.0001 0.0004 0.0002 0.4748
12 0.0004 0.0001 0.0001 0.0001 0.0002 0.0001 0.0001 0.0001 0.0001 0.0004 0.0003 0.0001 0.0004 0.0004 0.9971
13 0.0004 0.0001 0.0001 0.0004 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.9948 0.0001 0.0033
14 0.0001 0.0001 0.0004 0.0001 0.0560 0.0000 0.0813 0.0001 0.0004 0.0004 0.0678 0.0001 0.0001 0.8058 0.0000
