Pop Pop1 Pop2 Pop3 Pop4 Pop5 Pop6 Pop7 Pop8 Pop9 Pop10 Pop11 Pop12 Pop13 Pop14 Ghost
1 0.0001 0.0017 0.0017 0.0004 0.0002 0.0712 0.0012 0.0016 0.0016 0.0001 0.0016 0.0001 0.0001 0.0016 0.9168
2 0.0017 0.9794 0.0018 0.0017 0.0015 0.0014 0.0014 0.0018 0.0017 0.0017 0.0011 0.0015 0.0016 0.0017 0.0000
3 0.0016 0.0016 0.0001 0.0016 0.0016 0.0001 0.0005 0.0016 0.0001 0.0016 0.0012 0.0001 0.0016 0.0001 0.9866
4 0.0001 0.0016 0.0001 0.0001 0.0001 0.0001 0.0001 0.0016 0.0001 0.0016 0.0001 0.0001 0.0001 0.0001 0.9941
5 0.0001 0.0016 0.0017 0.0016 0.0001 0.0001 0.0001 0.0016 0.0001 0.0001 0.0001 0.0001 0.0016 0.0016 0.9895
6 0.0001 0.0016 0.0017 0.0001 0.0016 0.0454 0.0534 0.0001 0.0003 0.0016 0.0016 0.0220 0.0016 0.0016 0.8673
7 0.0001 0.0016 0.0017 0.0001 0.0016 0.0001 0.8139 0.0016 0.0016 0.0016 0.0001 0.0001 0.0016 0.0016 0.1727
8 0.0016 0.0016 0.0017 0.0016 0.0001 0.0016 0.0016 0.0001 0.0001 0.0016 0.0016 0.0001 0.0016 0.0016 0.9835
9 0.0001 0.0001 0.0001 0.0016 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0016 0.0001 0.9956
10 0.0016 0.0016 0.0017 0.0016 0.0016 0.0016 0.0016 0.0016 0.0016 0.0001 0.0016 0.0016 0.0016 0.0016 0.9790
11 0.0016 0.0001 0.0001 0.0016 0.0016 0.0001 0.0016 0.0016 0.0002 0.0001 0.1798 0.0001 0.0016 0.0016 0.8083
12 0.0016 0.0001 0.0017 0.0016 0.0016 0.0016 0.0016 0.0016 0.0016 0.0016 0.0001 0.0001 0.0016 0.0016 0.9820
13 0.0016 0.0001 0.0017 0.0001 0.0001 0.0001 0.0004 0.0016 0.0016 0.0016 0.0013 0.0016 0.0001 0.0001 0.9880
14 0.0001 0.0001 0.0000 0.0016 0.1558 0.0000 0.0650 0.0016 0.0016 0.0001 0.0192 0.0001 0.0016 0.8158 0.0000
