Pop Pop1 Pop2 Pop3 Pop4 Pop5 Pop6 Pop7 Pop8 Pop9 Pop10 Pop11 Pop12 Pop13 Pop14 Pop15 Ghost
1 0.0001 0.0016 0.0015 0.0016 0.0016 0.0713 0.0014 0.0016 0.0016 0.0016 0.0016 0.0016 0.0001 0.0016 0.0003 0.9109
2 0.0016 0.9778 0.0016 0.0016 0.0017 0.0015 0.0015 0.0017 0.0018 0.0018 0.0017 0.0009 0.0016 0.0017 0.0015 0.0000
3 0.0016 0.0016 0.0001 0.0001 0.0001 0.0001 0.0005 0.0016 0.0001 0.0016 0.0001 0.0008 0.0005 0.0016 0.0001 0.9895
4 0.0001 0.0016 0.0016 0.9776 0.0001 0.0001 0.0001 0.0016 0.0001 0.0001 0.0001 0.0001 0.0001 0.0016 0.0016 0.0135
5 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0016 0.0001 0.0016 0.0016 0.0001 0.0001 0.0016 0.0001 0.9925
6 0.0016 0.0016 0.0016 0.0016 0.0016 0.0542 0.1851 0.0016 0.0016 0.0016 0.0016 0.0016 0.0270 0.0016 0.0016 0.7145
7 0.0016 0.0001 0.0016 0.0016 0.0001 0.0001 0.8237 0.0016 0.0016 0.0016 0.0001 0.0001 0.0001 0.0003 0.0001 0.1657
8 0.0016 0.0001 0.0016 0.0016 0.0001 0.0001 0.0001 0.0001 0.0016 0.0001 0.0016 0.0001 0.0001 0.0016 0.0002 0.9894
9 0.0016 0.0016 0.0016 0.0016 0.0016 0.0001 0.0001 0.0016 0.0001 0.0016 0.0016 0.0002 0.0015 0.0016 0.0016 0.9820
10 0.0001 0.0015 0.0001 0.0016 0.0001 0.0001 0.0001 0.0001 0.0001 0.9776 0.0001 0.0001 0.0001 0.0015 0.0001 0.0167
11 0.0016 0.0016 0.0016 0.0001 0.0001 0.0001 0.0001 0.0016 0.0001 0.0001 0.0001 0.0001 0.0001 0.0016 0.0001 0.9910
12 0.0016 0.0016 0.0001 0.0001 0.0001 0.0001 0.0005 0.0016 0.0001 0.0002 0.0001 0.1635 0.0001 0.0016 0.0016 0.8271
13 0.0016 0.0016 0.0016 0.0001 0.0001 0.0001 0.0007 0.0016 0.0016 0.0001 0.0001 0.0009 0.0001 0.0001 0.0002 0.9895
14 0.0015 0.0016 0.0016 0.0016 0.0001 0.0001 0.0016 0.0016 0.0001 0.0016 0.0001 0.0002 0.0001 0.0001 0.0001 0.9880
15 0.0001 0.0001 0.0001 0.0001 0.0142 0.0001 0.0729 0.0000 0.0001 0.0001 0.0001 0.0206 0.0001 0.0001 0.9438 0.0000
