Pop Pop1 Pop2 Pop3 Pop4 Pop5 Pop6 Pop7 Pop8 Pop9 Pop10 Pop11 Pop12 Ghost
1 0.7115 0.0854 0.0016 0.0002 0.0002 0.0590 0.0560 0.0001 0.0003 0.0001 0.0012 0.0002 0.0842
2 0.0001 0.9978 0.0002 0.0001 0.0001 0.0001 0.0001 0.0001 0.0002 0.0001 0.0001 0.0001 0.0009
3 0.0001 0.0002 0.9978 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0010
4 0.0001 0.0002 0.0002 0.9978 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0002 0.0002 0.0007
5 0.0002 0.0002 0.0001 0.0002 0.0001 0.0002 0.0001 0.0001 0.0002 0.0002 0.0002 0.0002 0.9980
6 0.0002 0.0002 0.0002 0.0002 0.0039 0.1028 0.0002 0.0275 0.0002 0.0002 0.0002 0.0002 0.8640
7 0.0001 0.0002 0.0002 0.0002 0.0002 0.1814 0.0001 0.0001 0.0002 0.0002 0.0002 0.0002 0.8167
8 0.0002 0.0001 0.0002 0.0002 0.0002 0.0002 0.0002 0.0001 0.0002 0.0002 0.0002 0.0002 0.9978
9 0.1534 0.0002 0.0002 0.0002 0.0002 0.0001 0.0001 0.0001 0.0001 0.0002 0.0001 0.0002 0.8449
10 0.0002 0.0001 0.0001 0.0002 0.0002 0.0002 0.0001 0.0001 0.0002 0.0002 0.0002 0.0002 0.9980
11 0.0002 0.0002 0.0002 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0002 0.9984
12 0.0002 0.0002 0.0002 0.0003 0.0002 0.0002 0.0000 0.0001 0.0002 0.0629 0.0000 0.0001 0.9354
