PopI CI_L(J=1) CI_U(J=1) CI_L(J=2) CI_U(J=2) CI_L(J=3) CI_U(J=3) CI_L(J=4) CI_U(J=4) CI_L(J=5) CI_U(J=5) CI_L(J=6) CI_U(J=6) CI_L(J=7) CI_U(J=7) CI_L(J=8) CI_U(J=8) CI_L(J=9) CI_U(J=9) CI_L(J=10) CI_U(J=10) CI_L(J=11) CI_U(J=11) CI_L(J=12) CI_U(J=12)
1 0.0834 0.8860 0.0001 0.9164 0.0001 0.7633 0.0001 0.3816 0.0001 0.8358 0.0187 0.3394 0.0105 0.7762 0.0001 0.7912 0.0001 0.7458 0.0001 0.8079 0.0001 0.9265 0.0001 0.6901
2 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.7695 0.0001 0.6163 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987
3 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.6963 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987
4 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.6163 0.0001 0.3127 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987
5 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.5723 0.0001 0.5035 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987
6 0.0001 0.6901 0.0001 0.6279 0.0001 0.5100 0.0001 0.4995 0.0001 0.6016 0.0405 0.3356 0.0001 0.1566 0.0065 0.3626 0.0001 0.6172 0.0001 0.9946 0.0001 0.3824 0.0001 0.2294
7 0.0001 0.8358 0.0001 0.2400 0.0001 0.3197 0.0001 0.6901 0.0001 0.3087 0.0132 0.3375 0.0001 0.7908 0.0001 0.4994 0.0001 0.3772 0.0001 0.7914 0.0001 0.7368 0.0001 0.1930
8 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.8768 0.0001 0.4989 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987
9 0.0825 0.9987 0.0001 0.2637 0.0001 0.6886 0.0001 0.7630 0.0001 0.6886 0.0001 0.3375 0.0001 0.4994 0.0001 0.6476 0.0001 0.6163 0.0001 0.6410 0.0001 0.9255 0.0001 0.6905
10 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.3194 0.0001 0.6901 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987
11 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.4372 0.0001 0.6926 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987
12 0.0001 0.1855 0.0001 0.3053 0.0001 0.3128 0.0001 0.4717 0.0001 0.2917 0.0001 0.1181 0.0001 0.7351 0.0001 0.6214 0.0001 0.5101 0.0185 0.9987 0.0001 0.3368 0.0001 0.6204
