PopI CIJ_1 CIJ_2 CIJ_3 CIJ_4 CIJ_5 CIJ_6 CIJ_7 CIJ_8 CIJ_9 CIJ_10 CIJ_11 CIJ_12
1 0.4890-0.9099 0.0001-0.9358 0.0001-0.8067 0.0001-0.4995 0.0001-0.6902 0.0253-0.3332 0.0092-0.6811 0.0001-0.7630 0.0001-0.7392 0.0001-0.5102 0.0001-0.4999 0.0001-0.4544
2 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987 0.0001-0.8368 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987
3 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987
4 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987 0.0001-0.6176 0.0001-0.6173 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987
5 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987 0.0001-0.5617 0.0001-0.4266 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987
6 0.0001-0.7908 0.0001-0.6901 0.0001-0.6901 0.0001-0.1909 0.0001-0.6742 0.0382-0.3179 0.0001-0.1177 0.0064-0.5131 0.0001-0.2705 0.0001-0.8806 0.0001-0.5273 0.0001-0.6811
7 0.0001-0.8359 0.0001-0.3194 0.0001-0.2081 0.0001-0.2917 0.0001-0.3801 0.0085-0.4112 0.0001-0.6901 0.0001-0.8070 0.0001-0.0730 0.0001-0.7114 0.0001-0.4722 0.0001-0.8076
8 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987 0.0001-0.8810 0.0001-0.6623 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987
9 0.1007-0.9987 0.0001-0.8808 0.0001-0.4995 0.0001-0.7630 0.0001-0.3775 0.0001-0.3644 0.0001-0.4600 0.0001-0.1908 0.0001-0.5104 0.0001-0.6892 0.0001-0.7286 0.0001-0.6801
10 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987 0.0001-0.1221 0.0001-0.5038 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987
11 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987 0.0001-0.7651 0.0001-0.7351 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987 0.0001-0.9987
12 0.0001-0.5010 0.0001-0.2000 0.0001-0.5722 0.0001-0.5728 0.0001-0.4888 0.0001-0.1206 0.0001-0.8070 0.0001-0.6795 0.0001-0.3090 0.0298-0.9987 0.0001-0.1468 0.0001-0.6903
