Pop Pop1 Pop2 Pop3 Pop4 Pop5 Pop6 Pop7 Pop8 Pop9 Pop10 Pop11 Pop12 Ghost
1 0.7023 0.0001 0.0004 0.0002 0.0001 0.0000 0.0523 0.0001 0.0002 0.0001 0.0003 0.0001 0.2438
2 0.0001 0.0001 0.0002 0.0003 0.0002 0.0002 0.0002 0.0002 0.0001 0.0000 0.0004 0.0002 0.9978
3 0.0002 0.0002 0.0001 0.0002 0.0002 0.0000 0.0002 0.0002 0.0002 0.0001 0.0004 0.0002 0.9978
4 0.0001 0.0002 0.0001 0.9978 0.0001 0.0001 0.0001 0.0001 0.0002 0.0001 0.0003 0.0001 0.0007
5 0.0002 0.0002 0.0002 0.0002 0.0001 0.0002 0.0001 0.0002 0.0001 0.0002 0.0003 0.0002 0.9978
6 0.0002 0.0002 0.0002 0.0003 0.0002 0.0001 0.0000 0.0500 0.0002 0.0004 0.0003 0.0001 0.9478
7 0.0001 0.0001 0.0000 0.0004 0.0001 0.9989 0.0001 0.0000 0.0000 0.0001 0.0001 0.0001 0.0000
8 0.0001 0.0002 0.0001 0.0001 0.0001 0.0001 0.0000 0.0001 0.0001 0.0002 0.0003 0.0002 0.9984
9 0.1571 0.0003 0.0002 0.0002 0.0001 0.0002 0.0001 0.0000 0.0001 0.0002 0.0003 0.0001 0.8411
10 0.0001 0.0002 0.0001 0.0001 0.0003 0.0000 0.0001 0.0000 0.0001 0.0001 0.0001 0.0002 0.9986
11 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002 0.0001 0.0001 0.0002 0.0002 0.0001 0.0001 0.9980
12 0.0002 0.0001 0.0004 0.0001 0.0002 0.0002 0.0001 0.0001 0.0002 0.6375 0.0001 0.0001 0.3607
