PopI     CI_L(J=1)     CI_U(J=1)     CI_L(J=2)     CI_U(J=2)     CI_L(J=3)     CI_U(J=3)     CI_L(J=4)     CI_U(J=4)     CI_L(J=5)     CI_U(J=5)     CI_L(J=6)     CI_U(J=6)     CI_L(J=7)     CI_U(J=7)     CI_L(J=8)     CI_U(J=8)     CI_L(J=9)     CI_U(J=9)    CI_L(J=10)    CI_U(J=10)    CI_L(J=11)    CI_U(J=11)    CI_L(J=12)    CI_U(J=12)
    1        0.3039        0.9229        0.0001        0.8655        0.0001        0.5002        0.0001        0.8792        0.0001        0.3088        0.0302        0.3757        0.0215        0.3064        0.0001        0.8362        0.0001        0.6886        0.0001        0.8808        0.0001        0.2923        0.0001        0.5617
    2        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987        0.0001        0.6903        0.0001        0.4994        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987
    3        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987        0.0001        0.7908        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987
    4        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987        0.0001        0.6238        0.0001        0.4716        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987
    5        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987        0.0001        0.6001        0.0001        0.4716        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987
    6        0.0001        0.8809        0.0001        0.6173        0.0001        0.6901        0.0001        0.8186        0.0001        0.6121        0.0393        0.3165        0.0001        0.1909        0.0066        0.2425        0.0001        0.1009        0.0001        0.9881        0.0001        0.8080        0.0001        0.4822
    7        0.0001        0.8014        0.0001        0.6901        0.0001        0.3088        0.0001        0.6852        0.0001        0.3088        0.0102        0.4340        0.0001        0.1974        0.0001        0.8530        0.0001        0.3088        0.0001        0.3553        0.0001        0.1156        0.0001        0.2399
    8        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987        0.0001        0.7630        0.0001        0.6792        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987
    9        0.0877        0.9987        0.0001        0.8115        0.0001        0.3022        0.0001        0.7033        0.0001        0.8186        0.0001        0.3578        0.0001        0.6567        0.0001        0.8080        0.0001        0.8080        0.0001        0.6901        0.0001        0.8120        0.0001        0.5000
   10        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987        0.0001        0.2187        0.0001        0.7351        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987
   11        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987        0.0001        0.4716        0.0001        0.5010        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987        0.0001        0.9987
   12        0.0001        0.8055        0.0001        0.6901        0.0001        0.6173        0.0001        0.6148        0.0001        0.4989        0.0002        0.1221        0.0001        0.5894        0.0001        0.6173        0.0001        0.6730        0.0132        0.9987        0.0001        0.2358        0.0001        0.7069
