"site","year","prop_habitat_sampled"
"Cabatoan",2012,0.0166666666666667
"Cabatoan",2013,0.25
"Cabatoan",2014,0.25
"Cabatoan",2015,0.483333333333333
"Cabatoan",2016,0.35
"Cabatoan",2018,0.266666666666667
"Caridad Cemetery",2013,0.333333333333333
"Caridad Cemetery",2014,0.222222222222222
"Caridad Cemetery",2015,0.111111111111111
"Caridad Cemetery",2016,0.222222222222222
"Caridad Cemetery",2017,0.222222222222222
"Caridad Cemetery",2018,0.222222222222222
"Caridad Proper",2013,1
"Elementary School",2013,0.5
"Elementary School",2014,0.115384615384615
"Elementary School",2015,0.307692307692308
"Elementary School",2016,0.269230769230769
"Elementary School",2017,0.269230769230769
"Elementary School",2018,0.307692307692308
"Gabas",2015,0.384615384615385
"Gabas",2016,0.307692307692308
"Gabas",2017,0.461538461538462
"Haina",2013,0.0422535211267606
"Haina",2014,0.0985915492957746
"Haina",2015,0.330985915492958
"Haina",2016,0.0704225352112676
"Haina",2017,0.408450704225352
"Haina",2018,0.591549295774648
"Hicgop South",2013,0.375
"Hicgop South",2014,0.15625
"Hicgop South",2015,0.28125
"Hicgop South",2016,0.34375
"Hicgop South",2017,0.46875
"Hicgop South",2018,0.53125
"Magbangon",2012,0.0029585798816568
"Magbangon",2013,0.0946745562130177
"Magbangon",2014,0.156804733727811
"Magbangon",2015,0.630177514792899
"Magbangon",2016,0.260355029585799
"Magbangon",2018,0.0857988165680473
"Palanas",2012,0.00347222222222222
"Palanas",2013,0.274305555555556
"Palanas",2014,0.232638888888889
"Palanas",2015,0.482638888888889
"Palanas",2016,0.444444444444444
"Palanas",2017,0.423611111111111
"Palanas",2018,0.475694444444444
"Poroc Rose",2012,0.0277777777777778
"Poroc Rose",2013,0.361111111111111
"Poroc Rose",2014,0.25
"Poroc Rose",2015,0.222222222222222
"Poroc Rose",2016,0.0833333333333333
"Poroc Rose",2017,0.305555555555556
"Poroc Rose",2018,0.25
"Poroc San Flower",2012,0.0384615384615385
"Poroc San Flower",2013,0.346153846153846
"Poroc San Flower",2014,0.307692307692308
"Poroc San Flower",2015,0.461538461538462
"Poroc San Flower",2016,0.230769230769231
"Poroc San Flower",2017,0.346153846153846
"Poroc San Flower",2018,0.269230769230769
"San Agustin",2012,0.0196078431372549
"San Agustin",2013,0.215686274509804
"San Agustin",2014,0.254901960784314
"San Agustin",2015,0.352941176470588
"San Agustin",2016,0.372549019607843
"San Agustin",2017,0.333333333333333
"San Agustin",2018,0.254901960784314
"Sitio Baybayon",2013,0.0675182481751825
"Sitio Baybayon",2014,0.142335766423358
"Sitio Baybayon",2015,0.582116788321168
"Sitio Baybayon",2016,0.144160583941606
"Sitio Baybayon",2017,0.195255474452555
"Sitio Baybayon",2018,0.403284671532847
"Sitio Lonas",2012,0.5
"Sitio Lonas",2013,0.5
"Sitio Tugas",2013,1
"Tamakin Dacot",2013,0.181818181818182
"Tamakin Dacot",2014,0.166666666666667
"Tamakin Dacot",2015,0.348484848484849
"Tamakin Dacot",2016,0.257575757575758
"Tamakin Dacot",2017,0.46969696969697
"Tamakin Dacot",2018,0.53030303030303
"Visca",2012,0.325581395348837
"Visca",2013,0.534883720930233
"Visca",2014,0.0697674418604651
"Visca",2015,0.116279069767442
"Visca",2016,0.186046511627907
"Visca",2017,0.27906976744186
"Visca",2018,0.186046511627907
"Wangag",2012,0.00190839694656489
"Wangag",2013,0.181297709923664
"Wangag",2014,0.234732824427481
"Wangag",2015,0.400763358778626
"Wangag",2016,0.16412213740458
"Wangag",2017,0.265267175572519
"Wangag",2018,0.391221374045802
