destination,source,year,migration_rate
Cabatoan,Cabatoan,migration_rate13,1e-04
Caridad Cemetery,Cabatoan,migration_rate13,1e-04
Elementary School,Cabatoan,migration_rate13,1e-04
Haina,Cabatoan,migration_rate13,1e-04
Hicgop South,Cabatoan,migration_rate13,1e-04
Magbangon,Cabatoan,migration_rate13,1e-04
Palanas,Cabatoan,migration_rate13,0.029
Poroc Rose,Cabatoan,migration_rate13,0.317
Poroc San Flower,Cabatoan,migration_rate13,0.3491
San Agustin,Cabatoan,migration_rate13,1e-04
Sitio Baybayon,Cabatoan,migration_rate13,1e-04
Tamakin Dacot,Cabatoan,migration_rate13,1e-04
Visca,Cabatoan,migration_rate13,1e-04
Wangag,Cabatoan,migration_rate13,1e-04
Cabatoan,Caridad Cemetery,migration_rate13,1e-04
Caridad Cemetery,Caridad Cemetery,migration_rate13,1e-04
Elementary School,Caridad Cemetery,migration_rate13,1e-04
Haina,Caridad Cemetery,migration_rate13,1e-04
Hicgop South,Caridad Cemetery,migration_rate13,3e-04
Magbangon,Caridad Cemetery,migration_rate13,1e-04
Palanas,Caridad Cemetery,migration_rate13,2e-04
Poroc Rose,Caridad Cemetery,migration_rate13,2e-04
Poroc San Flower,Caridad Cemetery,migration_rate13,1e-04
San Agustin,Caridad Cemetery,migration_rate13,1e-04
Sitio Baybayon,Caridad Cemetery,migration_rate13,1e-04
Tamakin Dacot,Caridad Cemetery,migration_rate13,1e-04
Visca,Caridad Cemetery,migration_rate13,1e-04
Wangag,Caridad Cemetery,migration_rate13,1e-04
Cabatoan,Elementary School,migration_rate13,1e-04
Caridad Cemetery,Elementary School,migration_rate13,2e-04
Elementary School,Elementary School,migration_rate13,1e-04
Haina,Elementary School,migration_rate13,2e-04
Hicgop South,Elementary School,migration_rate13,1e-04
Magbangon,Elementary School,migration_rate13,1e-04
Palanas,Elementary School,migration_rate13,2e-04
Poroc Rose,Elementary School,migration_rate13,1e-04
Poroc San Flower,Elementary School,migration_rate13,1e-04
San Agustin,Elementary School,migration_rate13,2e-04
Sitio Baybayon,Elementary School,migration_rate13,1e-04
Tamakin Dacot,Elementary School,migration_rate13,1e-04
Visca,Elementary School,migration_rate13,1e-04
Wangag,Elementary School,migration_rate13,1e-04
Cabatoan,Ghost,migration_rate13,0.7152
Caridad Cemetery,Ghost,migration_rate13,0.9981
Elementary School,Ghost,migration_rate13,0.8924
Haina,Ghost,migration_rate13,0.7834
Hicgop South,Ghost,migration_rate13,0.9984
Magbangon,Ghost,migration_rate13,0.077
Palanas,Ghost,migration_rate13,0.2746
Poroc Rose,Ghost,migration_rate13,0.6813
Poroc San Flower,Ghost,migration_rate13,0
San Agustin,Ghost,migration_rate13,0.0159
Sitio Baybayon,Ghost,migration_rate13,0.7851
Tamakin Dacot,Ghost,migration_rate13,0.9983
Visca,Ghost,migration_rate13,0.3403
Wangag,Ghost,migration_rate13,0.7473
Cabatoan,Haina,migration_rate13,2e-04
Caridad Cemetery,Haina,migration_rate13,1e-04
Elementary School,Haina,migration_rate13,1e-04
Haina,Haina,migration_rate13,1e-04
Hicgop South,Haina,migration_rate13,0
Magbangon,Haina,migration_rate13,1e-04
Palanas,Haina,migration_rate13,1e-04
Poroc Rose,Haina,migration_rate13,1e-04
Poroc San Flower,Haina,migration_rate13,1e-04
San Agustin,Haina,migration_rate13,1e-04
Sitio Baybayon,Haina,migration_rate13,1e-04
Tamakin Dacot,Haina,migration_rate13,1e-04
Visca,Haina,migration_rate13,1e-04
Wangag,Haina,migration_rate13,0.1298
Cabatoan,Hicgop South,migration_rate13,1e-04
Caridad Cemetery,Hicgop South,migration_rate13,3e-04
Elementary School,Hicgop South,migration_rate13,1e-04
Haina,Hicgop South,migration_rate13,1e-04
Hicgop South,Hicgop South,migration_rate13,1e-04
Magbangon,Hicgop South,migration_rate13,1e-04
Palanas,Hicgop South,migration_rate13,1e-04
Poroc Rose,Hicgop South,migration_rate13,1e-04
Poroc San Flower,Hicgop South,migration_rate13,1e-04
San Agustin,Hicgop South,migration_rate13,1e-04
Sitio Baybayon,Hicgop South,migration_rate13,1e-04
Tamakin Dacot,Hicgop South,migration_rate13,2e-04
Visca,Hicgop South,migration_rate13,2e-04
Wangag,Hicgop South,migration_rate13,2e-04
Cabatoan,Magbangon,migration_rate13,1e-04
Caridad Cemetery,Magbangon,migration_rate13,1e-04
Elementary School,Magbangon,migration_rate13,1e-04
Haina,Magbangon,migration_rate13,1e-04
Hicgop South,Magbangon,migration_rate13,1e-04
Magbangon,Magbangon,migration_rate13,0.8033
Palanas,Magbangon,migration_rate13,0.1903
Poroc Rose,Magbangon,migration_rate13,1e-04
Poroc San Flower,Magbangon,migration_rate13,1e-04
San Agustin,Magbangon,migration_rate13,1e-04
Sitio Baybayon,Magbangon,migration_rate13,2e-04
Tamakin Dacot,Magbangon,migration_rate13,1e-04
Visca,Magbangon,migration_rate13,1e-04
Wangag,Magbangon,migration_rate13,1e-04
Cabatoan,Palanas,migration_rate13,0.2832
Caridad Cemetery,Palanas,migration_rate13,0
Elementary School,Palanas,migration_rate13,0.1059
Haina,Palanas,migration_rate13,1e-04
Hicgop South,Palanas,migration_rate13,1e-04
Magbangon,Palanas,migration_rate13,0.1181
Palanas,Palanas,migration_rate13,0.1202
Poroc Rose,Palanas,migration_rate13,1e-04
Poroc San Flower,Palanas,migration_rate13,0.4208
San Agustin,Palanas,migration_rate13,0.268
Sitio Baybayon,Palanas,migration_rate13,1e-04
Tamakin Dacot,Palanas,migration_rate13,1e-04
Visca,Palanas,migration_rate13,0.3289
Wangag,Palanas,migration_rate13,0.1211
Cabatoan,Poroc Rose,migration_rate13,1e-04
Caridad Cemetery,Poroc Rose,migration_rate13,1e-04
Elementary School,Poroc Rose,migration_rate13,2e-04
Haina,Poroc Rose,migration_rate13,1e-04
Hicgop South,Poroc Rose,migration_rate13,1e-04
Magbangon,Poroc Rose,migration_rate13,1e-04
Palanas,Poroc Rose,migration_rate13,2e-04
Poroc Rose,Poroc Rose,migration_rate13,1e-04
Poroc San Flower,Poroc Rose,migration_rate13,2e-04
San Agustin,Poroc Rose,migration_rate13,1e-04
Sitio Baybayon,Poroc Rose,migration_rate13,1e-04
Tamakin Dacot,Poroc Rose,migration_rate13,1e-04
Visca,Poroc Rose,migration_rate13,1e-04
Wangag,Poroc Rose,migration_rate13,1e-04
Cabatoan,Poroc San Flower,migration_rate13,1e-04
Caridad Cemetery,Poroc San Flower,migration_rate13,1e-04
Elementary School,Poroc San Flower,migration_rate13,2e-04
Haina,Poroc San Flower,migration_rate13,1e-04
Hicgop South,Poroc San Flower,migration_rate13,1e-04
Magbangon,Poroc San Flower,migration_rate13,1e-04
Palanas,Poroc San Flower,migration_rate13,1e-04
Poroc Rose,Poroc San Flower,migration_rate13,1e-04
Poroc San Flower,Poroc San Flower,migration_rate13,2e-04
San Agustin,Poroc San Flower,migration_rate13,1e-04
Sitio Baybayon,Poroc San Flower,migration_rate13,1e-04
Tamakin Dacot,Poroc San Flower,migration_rate13,1e-04
Visca,Poroc San Flower,migration_rate13,1e-04
Wangag,Poroc San Flower,migration_rate13,1e-04
Cabatoan,San Agustin,migration_rate13,1e-04
Caridad Cemetery,San Agustin,migration_rate13,1e-04
Elementary School,San Agustin,migration_rate13,1e-04
Haina,San Agustin,migration_rate13,1e-04
Hicgop South,San Agustin,migration_rate13,1e-04
Magbangon,San Agustin,migration_rate13,1e-04
Palanas,San Agustin,migration_rate13,2e-04
Poroc Rose,San Agustin,migration_rate13,1e-04
Poroc San Flower,San Agustin,migration_rate13,1e-04
San Agustin,San Agustin,migration_rate13,0.7146
Sitio Baybayon,San Agustin,migration_rate13,1e-04
Tamakin Dacot,San Agustin,migration_rate13,1e-04
Visca,San Agustin,migration_rate13,1e-04
Wangag,San Agustin,migration_rate13,1e-04
Cabatoan,Sitio Baybayon,migration_rate13,1e-04
Caridad Cemetery,Sitio Baybayon,migration_rate13,1e-04
Elementary School,Sitio Baybayon,migration_rate13,1e-04
Haina,Sitio Baybayon,migration_rate13,0.215
Hicgop South,Sitio Baybayon,migration_rate13,1e-04
Magbangon,Sitio Baybayon,migration_rate13,1e-04
Palanas,Sitio Baybayon,migration_rate13,0.0481
Poroc Rose,Sitio Baybayon,migration_rate13,1e-04
Poroc San Flower,Sitio Baybayon,migration_rate13,0.3117
San Agustin,Sitio Baybayon,migration_rate13,1e-04
Sitio Baybayon,Sitio Baybayon,migration_rate13,1e-04
Tamakin Dacot,Sitio Baybayon,migration_rate13,1e-04
Visca,Sitio Baybayon,migration_rate13,1e-04
Wangag,Sitio Baybayon,migration_rate13,1e-04
Cabatoan,Tamakin Dacot,migration_rate13,1e-04
Caridad Cemetery,Tamakin Dacot,migration_rate13,1e-04
Elementary School,Tamakin Dacot,migration_rate13,1e-04
Haina,Tamakin Dacot,migration_rate13,1e-04
Hicgop South,Tamakin Dacot,migration_rate13,1e-04
Magbangon,Tamakin Dacot,migration_rate13,1e-04
Palanas,Tamakin Dacot,migration_rate13,0.0016
Poroc Rose,Tamakin Dacot,migration_rate13,2e-04
Poroc San Flower,Tamakin Dacot,migration_rate13,1e-04
San Agustin,Tamakin Dacot,migration_rate13,1e-04
Sitio Baybayon,Tamakin Dacot,migration_rate13,2e-04
Tamakin Dacot,Tamakin Dacot,migration_rate13,1e-04
Visca,Tamakin Dacot,migration_rate13,8e-04
Wangag,Tamakin Dacot,migration_rate13,1e-04
