"sheet_index","project_index","project_acc_bioprj","biosample_acc_sra","run_acc_sra","sampleEnteredBy","collectorList","materialSampleID","genus","specificEpithet","locality","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","country","georeferenceProtocol","habitat","microHabitat","environmentalMedium","yearCollected","monthCollected","dayCollected","establishmentMeans","permitInformation","associatedReferences","preservative","derivedGeneticDataType","derivedGeneticDataURI","derivedGeneticDataFormat","derivedGeneticDataFilename","derivedGeneticDataRemarks","phylum","class","order","family","colloquialName","nomenclaturalCode","scientificNameID","infraspecies","lifeStage","sex","otherCatalogNumbers","associatedMedia","samplingProtocol","tissueType","continentOcean","island","maximumDepthInMeters","maximumElevationInMeters","minimumDepthInMeters","minimumElevationInMeters","stateProvince","landOwner","library_selection_sra","library_strat_sra","read_type_sra","sequencing_platform","instrument_model","study_acc_sra","experiment_acc_sra","package_biosamp","dataset_id","ligation_id.x","sample_id.x","site.x","date_time.x","gps.x","year.x","month.x","day.x","hour.x","minute.x","lat.x","lon.x","ligation_id.y","sample_id.y","site.y","date_time.y","gps.y","year.y","month.y","day.y","hour.y","minute.y","lat.y","lon.y"
1,"M0066","PRJNA563695","SAMN12685932","SRR10062055","Sofia Beskid","Michelle Stuart","APCL13_528_L0666","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"adult","female",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6795756","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L0666","APCL13_528","Caridad Cemetery",2013-06-02 03:25:00,1,2013,6,2,3,25,10.83619525,124.746708,"L0666","APCL13_528","Caridad Cemetery",2013-06-02 03:25:00,1,2013,6,2,3,25,10.83619525,124.746708
2,"M0066","PRJNA563695","SAMN12743100","SRR10115323","Sofia Beskid","Michelle Stuart","APCL17_591_L3566","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,6,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"adult","male",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6844587","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L3566","APCL17_591","Wangag",2017-06-11 02:09:41,5,2017,6,11,2,9,10.87142143165,124.7139756521,"L3566","APCL17_591","Wangag",2017-06-11 02:09:41,5,2017,6,11,2,9,10.87142143165,124.7139756521
3,"M0066","PRJNA563695","SAMN12742744","SRR10114435","Sofia Beskid","Michelle Stuart","APCL15_402340_L2921","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,5,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"adult","male",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6844140","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L2921","APCL15_402340","Palanas",2015-05-30 02:47:00,3,2015,5,30,2,47,10.87379824605,124.711179197775,"L2921","APCL15_402340","Palanas",2015-05-30 02:47:00,3,2015,5,30,2,47,10.87379824605,124.711179197775
4,"M0066","PRJNA563695","SAMN12685717","SRR10061492","Sofia Beskid","Michelle Stuart","APCL13_234_L0268","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,5,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"juvenile","",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6795647","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L0268","APCL13_234","Palanas",2013-05-27 06:19:45,1,2013,5,27,6,19,10.8744365,124.71073175,"L0268","APCL13_234","Palanas",2013-05-27 06:19:45,1,2013,5,27,6,19,10.8744365,124.71073175
5,"M0066","PRJNA563695","SAMN12686317","SRR10062290","Sofia Beskid","Michelle Stuart","APCL13_557_L1218","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"adult","male",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6796184","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L1218","APCL13_557","Sitio Baybayon",2013-06-03 04:33:02,1,2013,6,3,4,33,10.6334045,124.7769405,"L1218","APCL13_557","Sitio Baybayon",2013-06-03 04:33:02,1,2013,6,3,4,33,10.6334045,124.7769405
6,"M0066","PRJNA563695","SAMN12742960","SRR10114886","Sofia Beskid","Michelle Stuart","APCL16_177_L3312","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,5,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"adult","female",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6844361","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L3312","APCL16_177","Haina",2016-05-18 03:23:00,3,2016,5,18,3,23,10.64087167385,124.7835467686,"L3312","APCL16_177","Haina",2016-05-18 03:23:00,3,2016,5,18,3,23,10.64087167385,124.7835467686
7,"M0066","PRJNA563695","SAMN12742474","SRR10114878","Sofia Beskid","Michelle Stuart","APCL15_372649_L2628","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,6,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"adult","male",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6844369","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L2628","APCL15_372649","Sitio Baybayon",2015-06-14 01:37:00,3,2015,6,14,1,37,10.63394765605,124.7765714326,"L2628","APCL15_372649","Sitio Baybayon",2015-06-14 01:37:00,3,2015,6,14,1,37,10.63394765605,124.7765714326
8,"M0066","PRJNA563695","SAMN12686345","SRR10062259","Sofia Beskid","Michelle Stuart","APCL13_648_L1249","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"juvenile","",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6796215","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L1249","APCL13_648","Palanas",2013-06-04 06:43:20,1,2013,6,4,6,43,10.8729,124.712048,"L1249","APCL13_648","Palanas",2013-06-04 06:43:20,1,2013,6,4,6,43,10.8729,124.712048
9,"M0066","PRJNA563695","SAMN12743371","SRR10115093","Sofia Beskid","Michelle Stuart","APCL18_342_L3901","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,3,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"adult","male",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6844817","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L3901","APCL18_342","Sitio Baybayon",2018-03-16 06:29:00,4,2018,3,16,6,29,10.635242995325,124.77597841295,"L3901","APCL18_342","Sitio Baybayon",2018-03-16 06:29:00,4,2018,3,16,6,29,10.635242995325,124.77597841295
10,"M0066","PRJNA563695","SAMN12686432","SRR10062163","Sofia Beskid","Michelle Stuart","APCL12_160_L1778","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"juvenile","",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6796311","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L1778","APCL12_160","S. Magbangon",2012-05-10 03:58:00,1,2012,5,10,3,58,10.85778175,124.724569,"L1778","APCL12_160","S. Magbangon",2012-05-10 03:58:00,1,2012,5,10,3,58,10.85778175,124.724569
